Latitude,Longitude,N_850,Nol_850,Ce_850,R2_850,QA_850
-34.5,146.5,26,1,0.0109,0.598,1
-34.5,147.5,6,0,0.0279,0.88,2
-34.5,148.5,23,0,0.00503,0.416,2
-34.5,149.5,21,0,0.0124,0.741,2
-34.5,150.5,11,0,0.0176,0.694,3
-34.5,151.5,0,0,0.0176,-9999,0
-34.5,172.5,10,0,0.00217,0.404,0
-33.5,-71.5,30,1,0.00531,0.556,2
-33.5,-70.5,0,0,0.0154,-9999,0
-33.5,-69.5,0,0,0.0144,-9999,0
-33.5,-68.5,18,0,0.0177,0.387,3
-33.5,-67.5,17,1,0.0106,0.478,2
-33.5,-66.5,19,1,0.0109,0.573,3
-33.5,-65.5,22,1,0.0125,0.549,3
-33.5,-64.5,53,0,0.00597,0.242,2
-33.5,-63.5,155,0,0.0027,0.103,0
-33.5,-62.5,7,0,0.0428,0.872,4
-33.5,-61.5,69,1,0.00451,0.31,2
-33.5,-60.5,67,1,0.0233,0.442,3
-33.5,-59.5,127,1,0.0181,0.687,3
-33.5,-58.5,68,0,0.0168,0.54,3
-33.5,-57.5,7,0,0.0113,0.497,3
-33.5,-56.5,61,1,0.00435,0.0778,0
-33.5,-55.5,30,1,0.000973,0.258,2
-33.5,-54.5,6,1,0.0395,0.887,4
-33.5,-53.5,18,0,0.0163,0.233,1
-33.5,-52.5,0,0,0.034,-9999,0
-33.5,17.5,0,0,0.00928,-9999,0
-33.5,18.5,6,1,0.0089,0.695,3
-33.5,19.5,45,0,0.007,0.413,3
-33.5,20.5,19,0,0.00414,0.636,2
-33.5,21.5,42,0,0.00726,0.483,2
-33.5,22.5,22,0,0.00386,0.68,3
-33.5,23.5,12,0,0.00982,0.624,3
-33.5,24.5,18,0,0.00551,0.437,3
-33.5,25.5,15,1,0.0119,0.822,4
-33.5,26.5,13,0,0.0151,0.318,3
-33.5,27.5,6,0,0.0401,0.619,2
-33.5,115.5,31,0,0.00802,0.268,3
-33.5,116.5,46,0,0.0138,0.603,3
-33.5,117.5,40,0,0.00539,0.565,2
-33.5,118.5,124,1,0.000804,0.0299,0
-33.5,119.5,11,1,0.00271,0.693,2
-33.5,120.5,11,0,0.0107,0.556,2
-33.5,121.5,7,1,0.023,0.866,2
-33.5,122.5,74,0,0.00194,0.18,0
-33.5,123.5,11,1,0.00377,0.47,1
-33.5,124.5,19,0,0.00101,0.164,0
-33.5,134.5,29,0,0.00657,0.144,0
-33.5,135.5,60,0,0.0054,0.367,0
-33.5,136.5,28,0,0.00153,0.199,0
-33.5,137.5,62,0,0.00434,0.168,0
-33.5,138.5,10,0,0.00625,0.832,2
-33.5,139.5,7,0,7.84E-05,0.0102,0
-33.5,140.5,15,0,0.000612,0.18,0
-33.5,141.5,7,0,0.000331,0.137,0
-33.5,142.5,54,0,0.0008,0.12,0
-33.5,143.5,42,0,0.00788,0.175,0
-33.5,144.5,0,0,0.0158,-9999,0
-33.5,145.5,33,0,0.001,0.0923,0
-33.5,146.5,73,0,0.00462,0.25,0
-33.5,147.5,111,1,0.00217,0.0699,0
-33.5,148.5,22,0,0.00487,0.424,2
-33.5,149.5,10,0,0.0108,0.803,4
-33.5,150.5,33,0,0.00988,0.147,3
-33.5,151.5,10,1,0.00874,0.305,3
-32.5,-71.5,12,1,0.0101,0.681,1
-32.5,-70.5,0,0,0.0154,-9999,0
-32.5,-69.5,0,0,0.0144,-9999,0
-32.5,-68.5,12,0,0.0195,0.791,4
-32.5,-67.5,31,1,0.0109,0.254,0
-32.5,-66.5,52,0,0.00463,0.462,1
-32.5,-65.5,44,0,0.00767,0.477,3
-32.5,-64.5,40,0,0.00334,0.057,2
-32.5,-63.5,75,0,0.00689,0.133,2
-32.5,-62.5,70,0,0.00422,0.33,2
-32.5,-61.5,15,0,0.0286,0.382,3
-32.5,-60.5,94,0,0.0159,0.446,3
-32.5,-59.5,95,0,0.0125,0.454,2
-32.5,-58.5,13,1,0.0271,0.702,4
-32.5,-57.5,74,0,0.0034,0.403,2
-32.5,-56.5,20,1,0.00265,0.104,0
-32.5,-55.5,41,0,0.0024,0.421,2
-32.5,-54.5,45,0,0.0143,0.377,2
-32.5,-53.5,15,1,0.0769,0.717,1
-32.5,-52.5,28,0,0.00451,0.229,0
-32.5,-51.5,0,0,0.0261,-9999,0
-32.5,17.5,7,0,0.0217,0.532,0
-32.5,18.5,13,0,0.0328,0.807,1
-32.5,19.5,6,0,0.0176,0.915,4
-32.5,20.5,11,0,0.00315,0.36,0
-32.5,21.5,8,0,0.00803,0.0996,0
-32.5,22.5,7,0,0.0111,0.532,1
-32.5,23.5,20,1,0.00685,0.794,0
-32.5,24.5,11,0,0.00477,0.549,1
-32.5,25.5,29,0,0.00838,0.624,2
-32.5,26.5,27,0,0.00801,0.409,3
-32.5,27.5,31,0,0.0058,0.159,3
-32.5,28.5,22,0,0.0498,0.734,4
-32.5,29.5,7,0,0.0226,0.659,0
-32.5,115.5,9,0,0.0424,0.735,2
-32.5,116.5,37,0,0.0078,0.619,3
-32.5,117.5,17,0,0.00903,0.62,1
-32.5,118.5,99,0,0.00681,0.217,0
-32.5,119.5,127,1,0.000237,0.00677,0
-32.5,120.5,51,0,0.00109,0.365,0
-32.5,121.5,70,0,0.00208,0.136,0
-32.5,122.5,6,1,0.00973,0.9,1
-32.5,123.5,7,1,0.00103,0.545,1
-32.5,124.5,52,0,0.000365,0.205,0
-32.5,125.5,0,0,0.00247,-9999,0
-32.5,126.5,0,0,0.00347,-9999,0
-32.5,127.5,0,0,0.00272,-9999,0
-32.5,128.5,0,0,0.00291,-9999,0
-32.5,132.5,0,0,0.00304,-9999,0
-32.5,133.5,6,0,0.00144,0.154,0
-32.5,134.5,48,0,0.00169,0.172,0
-32.5,135.5,27,0,0.00177,0.192,0
-32.5,136.5,7,0,0.00221,0.892,0
-32.5,137.5,14,0,0.17,0.708,0
-32.5,138.5,12,0,0.0434,0.277,0
-32.5,139.5,0,0,0.0223,-9999,0
-32.5,140.5,0,0,0.0104,-9999,0
-32.5,141.5,0,0,0.016,-9999,0
-32.5,142.5,0,0,0.0142,-9999,0
-32.5,143.5,0,0,0.0156,-9999,0
-32.5,144.5,6,0,0.0014,0.229,0
-32.5,145.5,22,0,0.00141,0.107,0
-32.5,146.5,134,0,0.00323,0.0507,0
-32.5,147.5,7,1,0.0037,0.823,2
-32.5,148.5,34,0,0.00328,0.155,2
-32.5,149.5,27,0,0.0055,0.263,2
-32.5,150.5,14,1,0.0194,0.511,3
-32.5,151.5,17,0,0.0226,0.569,3
-32.5,152.5,37,1,0.0423,0.565,2
-31.5,-71.5,11,0,0.00139,0.395,0
-31.5,-70.5,0,0,0.0144,-9999,0
-31.5,-69.5,0,0,0.0155,-9999,0
-31.5,-68.5,9,0,0.00854,0.611,2
-31.5,-67.5,8,0,0.0481,0.745,1
-31.5,-66.5,13,0,0.00962,0.904,2
-31.5,-65.5,17,0,0.00689,0.455,3
-31.5,-64.5,136,0,0.0025,0.452,1
-31.5,-63.5,9,1,0.04,0.808,4
-31.5,-62.5,24,0,0.014,0.364,3
-31.5,-61.5,118,2,0.0102,0.241,2
-31.5,-60.5,84,0,0.026,0.345,3
-31.5,-59.5,18,1,0.0152,0.432,3
-31.5,-58.5,150,1,0.00536,0.203,2
-31.5,-57.5,56,0,0.00579,0.242,2
-31.5,-56.5,26,0,0.00864,0.193,2
-31.5,-55.5,37,0,0.00538,0.357,2
-31.5,-54.5,31,0,0.00738,0.244,2
-31.5,-53.5,7,0,0.0125,0.413,3
-31.5,-52.5,31,1,0.04,0.805,2
-31.5,-51.5,28,0,0.0234,0.436,0
-31.5,-50.5,0,0,0.011,-9999,0
-31.5,17.5,0,0,0.00967,-9999,0
-31.5,18.5,51,0,0.00909,0.161,0
-31.5,19.5,78,0,0.00274,0.234,0
-31.5,20.5,11,0,0.0322,0.596,0
-31.5,21.5,20,0,0.0125,0.334,0
-31.5,22.5,9,1,0.0068,0.378,0
-31.5,23.5,9,0,0.0521,0.891,1
-31.5,24.5,26,0,0.0149,0.743,4
-31.5,25.5,16,0,0.00923,0.852,2
-31.5,26.5,11,0,0.0198,0.63,3
-31.5,27.5,43,0,0.0168,0.571,3
-31.5,28.5,48,1,0.0126,0.454,3
-31.5,29.5,54,0,0.0125,0.27,3
-31.5,30.5,15,0,0.00782,0.189,1
-31.5,115.5,17,1,0.00953,0.519,3
-31.5,116.5,15,0,0.00502,0.545,3
-31.5,117.5,113,0,0.0059,0.25,0
-31.5,118.5,94,0,0.00451,0.241,0
-31.5,119.5,97,1,0.00313,0.584,0
-31.5,120.5,80,0,0.000699,0.144,0
-31.5,121.5,28,0,0.00276,0.461,0
-31.5,122.5,38,0,0.0022,0.261,0
